Year|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019
Revenue|3800|4216|4404|4055|4147|4796|5854|7302|9030|11171
Revenue Growth|29.0|11.0|4.4|-7.9|2.3|15.6|22.1|24.7|23.7|23.7
Earnings Per Share|1.47|1.65|1.66|0.56|0.53|1.24|2.32|3.38|5.20|6.00
EPS Growth|101.4|12.2|0.6|-66.3|-5.4|134.0|87.1|45.7|53.8|15.4
Return on Assets|10.0|9.7|8.8|2.8|2.5|5.6|9.6|12.4|15.6|14.9
Return on Equity|15.4|15.2|13.4|4.3|4.0|9.1|16.2|21.3|29.1|29.7
Return on Invested Capital|18.8|19.3|18.5|6.0|5.6|13.3|24.7|37.3|35.1|26.5
Free Cash Flow Growth|-5.5|41.3|-7.8|-21.6|18.3|12.8|55.4|37.0|37.6|7.04
Equity Growth|6.2|11.4|15.3|0.9|0.8|3.3|6.0|13.9|10.7|12.5
Market Capitalization|14597|13539|17097|28518|36647|45515|51299|87244|123046|149298
Price-to-Earnings|18.84|16.26|20.53|98.34|136.54|72.30|43.89|51.50|47.49|50.58
Gross Profit|3396|3778|3920|3469|3525|4051|5035|6291|7835|9499
Gross Margin |89.4|89.6|89.0|85.5|85.0|84.5|86.0|86.2|86.8|85.0
Operating Profit|1009|1122|1199|445|426|918|1531|2190|2890|3268
Operating Margin |26.6|26.6|27.2|11.0|10.3|19.1|26.1|30.0|32.0|29.3
