Year|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018
Revenue|312|387|480|560|660|762|845|1080|1473|1966
Revenue Growth|2.7|23.9|23.9|16.7|17.9|15.4|11.0|27.7|36.4|33.5
Gross Profit|233|303|361|416|498|578|640|815|1117|1448
Gross Margin|74.8|78.4|75.3|74.3|75.4|75.9|75.7|75.5|75.8|73.6
Operating Profit|-34|107|90|86|94|194|189|249|354|467
Operating Margin|-10.9|27.7|18.8|15.3|14.3|25.4|22.3|23.1|24.0|23.7
Earnings Per Share|-0.45|0.95|0.83|0.71|0.78|1.77|1.77|2.33|2.83|4.92
EPS Growth|-138.1|311.1|-12.6|-14.5|9.9|126.9|0|31.6|21.5|73.9
Return on Assets|-9.9|17.8|11.8|8.4|8.1|16.0|13.4|14.8|14.6|20.9
Return on Equity|-12.7|22.8|15.4|10.9|10.6|21.0|18.0|20.6|21.5|33.3
Return on Invested Capital|-32.1|92.2|42.1|24.0|25.2|51.9|46.6|56.1|58.7|84.2
Equity Growth|24.9|38.4|29.9|18.4|9.1|18.7|12.6|17.4|16.0|8.5
Cash from Operations|86.6|74.6|0.7|2.5|39.0|22.0|4.9|4.1|77.1|26.5
Capital Expenditures|49.8|-150.7|-68.6|-26.1|49.4|-24.1|-121.9|-32.0|-177.3|-14.1
Free Cash Flow Growth|163.5|66.5|-10.3|-4.6|74.5|21.8|-9.0|-4.0|37.1|36.5
Market Capitalization|1188|1488|1862|2257|4562|4517|5273|7695|17809|16821
Price-to-Earnings|-37.99|20.04|27.91|38.46|70.96|30.97|36.61|40.57|76.95|42.03
