Year|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018
Revenue|24509|34204|48077|61093|74452|88988|107006|135987|177866|232887
Revenue Growth|27.9|39.6|40.6|27.1|21.9|19.5|20.2|27.1|30.8|30.9
Gross Profit|5531|4745|6213|8703|11686|15470|21945|30103|40683|59704
Gross Margin|22.6|13.9|12.9|14.2|15.7|17.4|20.5|22.1|22.9|25.6
Operating Profit|1231|1327|786|756|881|296|2489|4096|3760|12604
Operating Margin|5.0|3.9|1.6|1.2|1.2|0.3|2.3|3.0|2.1|5.4
Earnings Per Share|2.04|2.53|1.37|-0.09|0.59|-0.52|1.25|4.90|6.15|20.14
EPS Growth|36.9|24.0|-45.8|-106.6|755.6|-188.1|340.4|292.0|25.5|227.5
Return on Assets|8.2|7.1|2.9|-0.1|0.8|-0.5|1.0|3.2|2.8|6.9
Return on Equity|22.8|19.0|8.6|-0.5|3.1|-2.4|4.9|14.5|12.9|28.3
Return on Invested Capital|-130.8|-109.0|-76.0|-45.9|17.9|-5.8|8.8|29.1|14.1|26.3
Equity Growth|96.7|30.6|13.0|5.6|19.0|10.2|24.6|44.1|43.7|57.2
Free Cash Flow Growth|114.1|-13.8|-16.9|-81.1|414.2|-4.0|241.3|41.3|-31.8|169.8
Market Capitalization|58087|80820|78577|114033|182646|143394|316992|355491|561790|732571
Price-to-Earnings|64.40|70.16|124.53|-2923.92|666.59|-595.00|531.87|149.93|185.23|72.73
