Year|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018
Revenue|2327|5963|7436|6209|7185|7221|6849|7252|10607|12451
Revenue Growth|-41.7|156.3|24.7|-16.5|15.7|0.5|-5.2|5.9|46.3|17.4
Gross Profit|668|2586|3223|2632|2983|3201|3154|3318|4758|5722
Gross Margin|28.7|43.4|43.3|42.4|41.5|44.3|46.1|45.7|44.9|46.0
Operating Profit|-238|1654|2159|1518|1436|1581|1705|1855|2887|3373
Operating Margin|-10.2|27.7|29.0|24.4|20.0|21.9|24.9|25.6|27.2|27.1
Earnings Per Share|-0.66|3.08|4.50|3.52|3.21|3.35|3.50|3.84|5.67|6.92
EPS Growth|-151.0|565.1|46.0|-21.8|-8.9|4.6|4.3|9.8|47.6|22.0
Return on Assets|-4.1|19.8|21.8|15.6|10.9|9.6|10.2|10.1|12.4|13.2
Return on Equity|-8.3|43.2|47.1|30.5|18.8|15.7|16.4|16.9|21.3|22.6
Return on Invested Capital|-10.6|65.5|98.1|64.0|28.9|20.9|21.7|20.2|22.4|24.0
Equity Growth|-3.7|41.8|23.5|17.8|77.7|-2.3|-1.4|13.4|23.1|3.8
Cash from Operations|-61.9|759.9|119.1|-66.1|56.4|-12.5|74.5|-20.4|22.5|62.5
Capital Expenditures|56.4|-11.3|-132.5|40.5|-24.9|-51.4|8.8|15.7|-23.7|-63.7
Free Cash Flow Growth|-129.7|12870.1|117.0|-70.5|67.2|-28.8|119.9|-21.4|22.2|62.2
Market Capitalization|14729|16738|17287|32518|41308|46684|37993|47557|74835|65532
Price-to-Earnings|-66.95|12.38|8.96|21.62|29.69|31.64|25.14|28.94|30.35|22.28
