Year|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018
Revenue|23651|29321|37905|46039|55519|66001|74989|90272|110855|136819
Revenue Growth|8.5|24.0|29.3|21.5|20.6|18.9|13.6|20.4|22.8|23.4
Gross Profit|14807|18904|24717|28863|33526|40310|46825|55134|65272|77270
Gross Margin|62.6|64.5|65.2|62.7|60.4|61.1|62.4|61.1|58.9|56.5
Operating Profit|8475|10551|12147|14066|15616|16508|20116|24264|29040|24822
Operating Margin|35.8|36.0|32.0|30.6|28.1|25.0|26.8|26.9|26.2|18.1
Earnings Per Share|10.21|13.17|14.89|16.16|18.79|20.57|22.84|27.85|18.00|43.70
EPS Growth|53.3|28.9|13.1|8.5|16.3|9.5|11.0|21.9|-35.4|142.8
Return on Assets|18.0|17.3|14.9|12.9|12.4|11.8|11.8|12.4|6.9|14.3
Return on Equity|20.3|20.7|18.7|16.5|16.0|14.8|14.6|15.0|8.7|18.6
Return on Invested Capital|54.5|64.8|60.0|45.8|40.4|36.0|33.6|35.7|22.8|48.4
Equity Growth|27.5|28.4|25.7|23.3|21.7|19.0|15.9|15.5|9.7|16.5
Free Cash Flow Growth|54.8|-29.5|53.9|-69.9|254.7|-27.7|130.1|51.6|-4.9|-9.6
Market Capitalization|196494|189302|208551|232445|373216|363790|534322|549073|733114|726958
Price-to-Earnings|30.14|22.26|21.42|21.65|29.31|25.73|32.68|28.19|57.90|23.65
