Year|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018
Revenue|35127|43623|53999|53341|52708|55870|55355|59387|62761|70848
Revenue Growth|-6.5|24.2|23.8|-1.2|-1.2|6.0|-0.9|7.3|5.7|12.9
Gross Profit|19561|28491|33757|33151|31521|35609|34679|36233|39098|43737
Gross Margin |55.7|65.3|62.5|62.1|59.8|63.7|62.6|61.0|62.3|61.7
Operating Profit|5711|14877|16897|14108|11505|14575|13222|12253|13733|22593
Operating Margin |16.3|34.1|31.3|26.4|21.8|26.1|23.9|20.6|21.9|31.9
Earnings Per Share|0.77|2.01|2.39|2.13|1.89|2.31|2.33|2.12|1.99|4.48
EPS Growth|-16.3|161.0|18.9|-10.9|-11.3|22.2|0.9|-9.0|-6.1|125.1
Return on Assets|8.4|19.7|19.3|14.2|10.9|12.7|11.8|9.6|8.1|16.8
Return on Equity|10.8|25.2|27.1|22.7|17.6|20.3|19.2|16.0|14.0|29.1
Return on Invested Capital|14.1|38.4|38.0|25.9|19.6|21.7|19.7|15.3|12.2|24.4
Equity Growth|5.5|18.5|-7.1|11.5|13.8|-2.5|9.2|8.3|4.1|7.3
Free Cash Flow Growth|16.2|72.4|-11.7|-30.5|42.4|2.8|13.4|4.2|-15.2|37.9
Market Capitalization|114199|117095|128161|103162|129333|179672|163775|171485|216029|214189
Price-to-Earnings|26.14|10.21|9.90|9.37|13.44|15.35|14.34|16.62|22.50|10.17
